category_slug,name,slug,sku,brand,description,price,original_value,stock_quantity,nutriscore,weight_info,weight_grams,unit_label,is_available,is_active,is_featured,is_bundle,image_url
fromages-cremerie,Comté AOP Affiné 24 Mois,comte-aop-affine-24-mois,FRO-001,Fromageries de Pontarlier,"Comté AOP affiné 24 mois en cave de Pontarlier. Notes de noisette, fruits secs et champignon. 200g.",6.80,8.90,16,B,200g,200,unit,true,true,true,false,https://images.unsplash.com/photo-1585237557448-4db48a8b21b1?auto=format&fit=crop&q=80&w=600
fromages-cremerie,Chèvre Frais Lait Cru,chevre-frais-lait-cru,FRO-002,Ferme Sainte-Claire,"Fromage de chèvre frais au lait cru du Poitou-Charentes. Texture crémeuse, saveur douce. 150g.",4.50,5.90,18,B,150g,150,unit,true,true,false,false,https://images.unsplash.com/photo-1585036341725-3d33cab8778c?auto=format&fit=crop&q=80&w=600
miels-confitures,Miel de Lavande AOP Provence,miel-lavande-aop-provence,MIE-001,Ruchers de Provence,"Miel monofloral de lavande des Alpes de Haute-Provence. Récolte manuelle, cristallisation naturelle. 250g.",8.90,11.90,30,A,250g,250,unit,true,true,true,false,https://images.unsplash.com/photo-1587049352846-4a222e784d38?auto=format&fit=crop&q=80&w=600
miels-confitures,Confiture Extra Fraises Gariguette,confiture-fraises-gariguette,CON-001,Conserverie du Terroir,"Confiture artisanale de fraises Gariguette. 75% de fruits, sans pectine ajoutée. 370g.",5.40,7.20,35,B,370g,370,unit,true,true,false,false,https://images.unsplash.com/photo-1528236238844-9117b77b49be?auto=format&fit=crop&q=80&w=600
huiles-condiments,Huile d'Olive Extra Vierge AOP Nyons,huile-olive-extra-vierge-aop-nyons,HUI-001,Moulin de la Balme,"Huile d'olive AOP Nyons, première pression à froid. Saveur fruitée verte et poivrée. 500ml.",12.90,16.90,22,A,500ml,500,unit,true,true,true,false,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&q=80&w=600
huiles-condiments,Purée de Tomates San Marzano DOP,puree-tomates-san-marzano-dop,TOM-001,Sapori d'Italia,"Passata de tomates San Marzano DOP, Campanie. Cuisson douce, sans additifs. 500g.",3.40,4.50,40,A,500g,500,unit,true,true,false,false,https://images.unsplash.com/photo-1592924357228-1a92b2c99e6e?auto=format&fit=crop&q=80&w=600
charcuterie-poissons,Jambon de Bayonne AOP 12 Mois,jambon-bayonne-aop-12-mois,CHA-001,Charcuterie Oteiza,"Jambon de Bayonne AOP, sel de Salies-de-Béarn, affiné 12 mois. Tranché main. 150g.",5.90,7.90,22,B,150g,150,unit,true,true,false,false,https://images.unsplash.com/photo-1529692236671-f1f6cf9683ba?auto=format&fit=crop&q=80&w=600
charcuterie-poissons,Saumon Fumé Atlantique Label Rouge,saumon-fume-atlantique-label-rouge,POI-001,Fumaisons de Bretagne,"Saumon Atlantique fumé au bois de hêtre breton. Tranché main. Label Rouge France. 200g.",8.90,11.90,15,B,200g,200,unit,true,true,true,false,https://images.unsplash.com/photo-1467003909585-2f1a4273d087?auto=format&fit=crop&q=80&w=600
epicerie-fine,Linguine de Gragnano IGP,linguine-de-gragnano-igp,PAT-001,Pastificio Campano,"Linguine IGP de Gragnano, coulage bronze artisanal. Séchage lent 48h. 500g.",3.80,5.20,45,B,500g,500,unit,true,true,false,false,https://images.unsplash.com/photo-1586238397499-142fd8426356?auto=format&fit=crop&q=80&w=600
epicerie-fine,Chocolat Noir 72% Single Origin Pérou,chocolat-noir-72-single-origin-perou,CHO-001,Alter Éco,"Tablette bean-to-bar, fèves Criollo Pérou, 72% cacao. Bio et équitable Max Havelaar. 100g.",3.90,5.20,50,C,100g,100,unit,true,true,false,false,https://images.unsplash.com/photo-1578662996442-48f60103fc96?auto=format&fit=crop&q=80&w=600
boulangerie-cereales,Pain au Levain Tradition,pain-au-levain-tradition,BOU-001,Boulangerie du Moulin,"Pain au levain naturel, cuit au four à bois. Fermentation 18h, mie alvéolée. 500g.",3.20,4.20,25,A,500g,500,unit,true,true,true,false,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&q=80&w=600
boissons-jus,Jus de Pomme Cloudy Bio Pressé Froid,jus-pomme-cloudy-bio-presse-froid,BOI-001,Cidrerie du Val,"Jus de pomme trouble pressé à froid, non filtré. Pommes Gala et Braeburn bio. Sans sucre ajouté. 1L.",4.20,5.50,40,A,1L,1050,unit,true,true,false,false,https://images.unsplash.com/photo-1621263760928-aea9b5414381?auto=format&fit=crop&q=80&w=600
boissons-jus,Kombucha Gingembre & Citron Vert,kombucha-gingembre-citron-vert,KOM-001,Kombu&Co,"Kombucha artisanal brassé 21 jours. Gingembre frais et zeste de citron vert bio. 330ml.",3.80,5.00,35,A,330ml,350,unit,true,true,true,false,https://images.unsplash.com/photo-1564890369478-c89ca6d9cde9?auto=format&fit=crop&q=80&w=600
